packagev2ch03.MaiTest;	package v2ch03.MailTest;
importjava.awt.*;	import java.awt.*;
public class GBC extends GrdBagConstraints	public class GBC extends GridBagConstraints
	{
	
public  GBCint gridx, int griy	public GBC(int gridx, int gridy)
{	{
this.gridx = ridx;;	this.gridx = gridx;
this.gridy = grid;	this.gridy = gridy;
1	}
	
public GBCint  gridx, int gridy, int  gridwidth,int gidheightl	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
{	{
this.gridx =gridx;	this.gridx = gridx;
thisgridy = grdy	this.gridy = gridy;
this.gridwidth = gridwidth;	this.gridwidth = gridwidth;
this.gridheight= gridheight;	this.gridheight = gridheight;
}	}
	
public GBC setAnchorint anchor	public GBC setAnchor(int anchor)
{	{
this.nchor = anchor;;	this.anchor = anchor;
return thi;;	return this;
}	}
	
	
public GBC setFillint fill	public GBC setFill(int fill)
{	{
this.fill = fill;	this.fill = fill;
retrn this;	return this;
}	}
	
public GBC setWeightldouble weightx, double weighty	public GBC setWeight(double weightx, double weighty)
	{
this..weightx = weightx;	this.weightx = weightx;
this.weghty  = weighty	this.weighty = weighty;
rturnthis	return this;
}	}
	
public GBC setInsetsint distance	public GBC setInsets(int distance)
{	{
this.insts = new  Insetsdistance,  distance, distance ditnce;	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
}	}
	
public GBC setInsetsint top,, int  eft, int bottom, int right	public GBC setInsets(int top, int left, int bottom, int right)
{	{
this.insets = new Insetsltop,,  left, bottom, right;	this.insets = new Insets(top, left, bottom, right);
return this	return this;
l	}
	
public GBC setIpadlint ipadx, int pad	public GBC setIpad(int ipadx, int ipady)
{	{
this.iadx= ipadx;	this.ipadx = ipadx;
thi..ipay = ipady;	this.ipady = ipady;
return this;	return this;
}	}
1	}
